,,01-02-2025,6 AM TO 2 PM,,,01-02-2025,6 AM TO 2 PM,0,,01-02-2025,6 AM TO 2 PM,,,01-02-2025,6 AM TO 2 PM,0,,01-02-2025,6 AM TO 2 PM,0
,,DU 1,,,,DU 2,,,,DU 3,,,,DU 4,,,,DU 5,,
,Cashier,MOHIBUL,,,Cashier,ABIDUL RAHMAN,,,Cashier,EJAJUL HUCK,,,Cashier,NIZAM,,,Cashier,MANU,,
,NOZZLE,Opening,Test,Closing,NOZZLE,Opening,Test,Closing,NOZZLE,Opening,Test,Closing,NOZZLE,Opening,Test,Closing,NOZZLE,Opening,Test,Closing
,DIESEL (N1),"19,719.67",10,"19,931.73",DIESEL (N3),"10,195.73",10,"10,544.74",PETROL 7,"14,785.60",10,"15,000.00",PETROL (N9),"32,960.56",10,"33,000.00",PETROL 11,"15,324.98",10,"15,553.43"
,DIESEL (N2),"71,973.51",10,"73,373.78",DIESEL (N4),"30,798.50",10,"31,353.10",PETROL 8,"40,497.36",10,"41,000.00",DIESEL 10,"16,608.94",10,"17,000.00",PETROL 12,"17,764.10",10,"18,198.15"
,,,,,XP 5,"19,000.00",10,"19,200.00",,,,,,,,,,,,
,,,,,XP 6,"17,000.00",10,"17,300.00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,SALE,,,,SALE,,,,SALE,,,,SALE,,,,,SALE,
,NOZZLE,,,,NOZZLE,,,,NOZZLE,,,,NOZZLE,,,,,NOZZLE,,
,DIESEL (N1),202.06,,,DIESEL (N3),339.01,,,PETROL 7,204.4,,,PETROL (N9),29.44,,,,PETROL 11,218.45,
,DIESEL (N2),"1,390.27",,,DIESEL (N4),544.6,,,PETROL (N8),492.64,,,DIESEL,381.06,,,,PETROL 12,424.05,
,,,,,XP5,190,,,,,,,,,,,,,,
,,,,,XP6,290,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,RECEIPTS,,,,RECEIPTS,,,,RECEIPTS,,,,RECEIPTS,,,,RECEIPTS,,
,,Rate,Receiveble,Received,,Rate,Receiveble,Received,,Rate,Receiveble,Received,,Rate,Receiveble,Received,,Rate,Receiveble,Received
,NOZZLE,,,,NOZZLE,,,,NOZZLE,,,,NOZZLE,,,,,,,
,DIESEL (N1),94.54,"19,102.75",,DIESEL (N3),94.54,"32,050.01",,DIESEL (N7),105.8,"21,625.52",,PETROL (N9),105.8,"3,114.75",,,105.8,"23,112.01",
,DIESEL (N2),94.54,"1,31,436.13",,DIESEL (N4),94.54,"51,486.48",,PETROL (N8),105.8,"52,121.31",,PETROL (N10),94.54,"36,025.41",,,105.8,"44,864.49",
,,,,,XP,120,"22,800.00",,,,,,,,,,,,,
,,,,,XP,120,"34,800.00",,,,,,,,,,,,,
