Date,Invoice no,Sale,HSN CODE,QUANTITY,IGST,RATE,Taxable Value,IGST,CGST,SGST,Invoice value,MRP
31-05-2026,B2C/2/26-27,PRIDE 2T -40 ML,27101972,80,,12.71,"1,016.95",,91.53,91.53,"1,200.00",18
31-05-2026,,PRIDE SCOOTER PLUS 10W 30 (800ML),27101972,6,,322.03,"1,932.20",,173.9,173.9,"2,280.00",400
31-05-2026,,PRIDE 4T PLUS 20W-50 (1 LTR),27101972,1,,381.36,381.36,-,34.32,34.32,450,480
31-05-2026,,CARGO POWER 1 Ltr,27101972,4,,271.19,"1,084.75",-,97.63,97.63,"1,280.00",350
31-05-2026,,CARGO POWER(500ML),27101972,4,,141.53,566.1,,50.95,50.95,668,170
31-05-2026,,PRIDE 4T PLUS 10W-30 (900 LTR),27101972,1,,338.98,338.98,-,30.51,30.51,400,430
31-05-2026,,ADBLUE ECOPRO(20L),31021000,10,,"1,144.07",338.98,-,-,-,-,"1,400.00"
31-05-2026,,Ad Blue 5 ltr,31021000,,,423.73,338.98,,-,-,-,550
31-05-2026,,Ad Blue 10 ltr,31021000,,,601.69,-,,-,-,-,740
31-05-2026,,break fluid 250 ml,38190010,1,,116.95,116.95,-,10.53,10.53,138,140
31-05-2026,,KOOL GURD( 1 L),38200000,3,,256.78,770.34,-,69.33,69.33,909,310
31-05-2026,,GLIDE ATF(500 M L),27101979,,,176.27,-,-,-,-,-,210
31-05-2026,,GLIDE ATF( 1 L),27101979,,,336.44,-,-,-,-,-,400
31-05-2026,,BATTERY WATER (5L),220190,10,,104.76,"1,047.62",-,94.29,94.29,"1,236.00",130.62
31-05-2026,,BATTERY WATER (1L),220190,,,16.95,-,-,-,-,-,25
31-05-2026,,COM/HP/146 HPMILCY TOP UP (1 LTR),27101980,,,360.17,-,-,-,-,-,430
31-05-2026,,MILTEX PETROL CORR BOX(500*5ml),38119000,176,,10.17,"1,789.83",-,161.08,161.08,"2,112.00",15
31-05-2026,,MILTEX DIESEL CORR BOX(300*10ML),38119000,62,,21.19,"1,313.56",-,118.22,118.22,"1,550.00",30
31-05-2026,,miltex petrol fuel addittive (120n*40ml),38119000,192,,152.54,"29,288.14",-,"2,635.93","2,635.93","34,560.00",210
31-05-2026,,MILTEX DIESEL fuel addittive(120N*50ML),38119000,188,,152.54,"28,677.97",-,"2,581.02","2,581.02","33,840.00",30
,,TOTAL,,728,,,"68,324.74",-,"6,149.23","6,149.23","80,623.00",
